"","d1A","d2A","d3A","d4A","d5A","d5B","d6A","h1A","h1B","h2A","h2B","h3A","h3B","h3C","h3D","h3E","h3F","h4A","h4B","h4C","o1A","o1B","o1C","o2A","o2B","o2C","o3A","o3B","o3C","o4A","o4B","o4C","o5A","o5B","o5C","o6A","o6B","o6C"
"bb.Car",0,0,0,0,12.6546947133863,29.5031103970165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199356955598751,1.48987985748498,0,0,0.609631737003118,0,0,0,0,0,0
"Chl.a",207.680565897982,150.677277105509,140.235842069591,162.368725469987,257.689320839024,210.188562691814,147.240620224044,135.951551408305,191.445663742524,175.610310710678,202.075594438228,81.1490447100279,81.0147038116991,61.553041797107,71.7837462209435,55.3278285812218,74.1396855329043,55.2635638867465,54.949341622759,57.4497214832422,41.0255149310507,53.0072393798591,54.9508999162179,50.5620279331231,57.9086168772536,54.2676608367327,37.1690403950368,35.8732381546602,50.0710623163094,56.4533977287967,46.9225691036244,62.6931020558361,69.7697578933105,53.2157321208182,60.0611851624514,93.9013777514437,87.8949415909583,74.0524631485212
"Chl.c1",8.29761156352333,7.09562415726249,6.62327500056853,8.837610122097,38.8626433128318,21.6413324429862,7.59603511674865,8.00412986420341,7.81534796665761,9.10830985002766,3.89934455295362,3.63746250963236,2.52588343713176,3.53584931857595,2.99369485737084,0,5.00577000801917,0,2.83691342750967,0,0,0.350378732248213,0.360876739478516,0,0,0,0,0,0,0,0,0,0.371705117784479,0,0,0,0.993753071530625,0
"Chl.c2",13.5942322483305,6.83864760692047,4.96202389052015,7.28560363903042,0,0,7.59804888626097,1.93767852920572,5.69952192538793,3.1433397403384,14.2001826163469,14.8885425649618,16.0851541288644,13.581414155569,13.3576845308173,18.0317368134704,12.3357561302437,18.2338385474259,11.8137438151136,11.1624499850556,10.6602539564657,12.7098649822951,11.8329943523417,16.2049254549242,19.7520207087247,15.2053603925346,11.423772749609,9.69605879048448,16.483653444176,16.0307294985925,13.9940903309167,12.1326985602645,17.0756056633001,17.5288197811654,13.1536853805314,21.0172333758816,18.4507096141424,17.2161623205133
"Fuco",161.128565302977,120.932563847819,118.050595732535,117.779701423402,174.10911519276,124.707585235755,116.538193351734,105.057517460027,141.912080387834,136.204481441962,164.586093831228,72.6358142690778,76.8515250010804,54.667681904058,69.8638238725892,29.5228863257536,67.8930047594912,6.43600044121253,30.4631180807714,0,36.5561323179248,48.2830487713666,49.2526905299263,40.8383956224339,58.2702269435239,51.7473938465958,42.3743809719621,37.8067074193449,52.3131070290685,56.9120395080743,50.1596699676933,54.4580729978867,68.0181917842049,54.9549883168141,47.5476167693334,82.2310987394496,80.7086927729938,66.4693708236266
"Phe.a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viola",0,0,0,0,0,0,0,0,1.27831414215139,0,2.37210016347199,1.24697082439594,0.0747281400067923,2.97543421879125,0.715197977321626,17.787104843012,0.652343434673786,8.08418900969257,0,11.0220392792317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zea",0,0,1.97132714523223,0.987394984105775,0,0,0,0.494798980171728,3.09135123342078,4.94801968067597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
