"","d1A","d1B","d2A","d2B","d2C","d3A","d3B","d3C","d4A","d4B","d4C","d5A","d5B","d6A","d6B","d6C","h1A","h1B","h1C","h2A","h2B","h3A","h3B","h3C","h3D","h3E","h3F","h4A","h4B","h4C","o1A","o1B","o1C","o2A","o2B","o2C","o3A","o3B","o3C","o4A","o4B","o4C","o5A","o5B","o5C","o6A","o6B","o6C","d1.1","d1.2","d1.3","d2.1","d2.2","d2.3","d3.1","d3.2","d3.3","h1.1","h1.2","h1.3","h2.1","h2.2","h2.3","h3.1","h3.2","h3.3","o1.1","o1.2","o1.3","o2.1","o2.2","o2.3","o3.1","o3.2","o3.3","d1.4","d1.5","d1.6","d2.4","d2.5","d2.6","d3.4","d3.5","d3.6","h1.4","h1.5","h1.6","h2.4","h2.5","h2.6","h3.4","h3.5","h3.6","o1.4","o1.5","o1.6","o2.4","o2.5","o2.6","o3.4","o3.5","o3.6","d1.7","d1.8","d1.9","d2.7","d2.8","d2.9","d3.7","d3.8","d3.9","h1.7","h1.8","h1.9","h2.7","h2.8","h2.9","h3.7","h3.8","h3.9","o1.7","o1.8","o1.9","o2.7","o2.8","o2.9","o3.7","o3.8","o3.9"
"bb.Car",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2146769951911,110.44874539462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.424710250508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.909866513126,0,0,95.6588269712146,57.6126972413282,147.173138195139,93.0406682183234,0,0,0,0,0,0,0,0,0,0,0,73.6306263518152,0,0,0,0,0,0,76.2432008106966,0,154.262242300491,76.5748850989374,82.1680708701101,34.2714232902327,88.320224471894,151.385984990854,59.0132755279335,33.0685708606829,75.0810862091212,0,0,0,0,0,0,7.30805963060053,0,0
"Chl.a",1724.38619944958,2056.78577680533,1656.33235210124,1094.15853601149,1261.65426541321,1766.66497630443,1020.31244975268,1196.169447224,1248.64102141012,1215.11196126947,1127.583988428,2130.63106671129,2290.60450626015,1271.83929393488,1278.20874045173,1336.37351614889,1455.80190032902,1341.46839687627,1128.57292359267,1219.96887789435,1225.09103730251,1019.47974499809,951.028289721799,890.139647977131,912.577336510157,1020.03059228393,997.401020796761,931.141748559645,1776.70394460231,1010.63460742898,838.723500498675,1375.66145117415,1363.91155302781,1205.70090394602,1071.23400911488,1116.66233804723,1043.70699188795,1079.89241018282,1023.48759946672,913.653788145393,901.271971279891,952.52386166519,993.028288727556,1151.8264786541,980.574497271798,1080.95676028737,1061.00258104829,1129.47993586039,943.879819087892,1070.63893938256,837.028120813801,1346.47551810187,1113.01916409304,1291.06973563789,1159.39918599531,1108.09622263882,935.531466491757,667.704629277944,1168.26683177069,540.496100135768,1293.42149456609,1084.28071185705,1574.62705443877,1250.28302525224,788.255350682018,858.728533841086,350.882740324363,432.925235090556,975.002681618438,437.936149132167,667.318832274087,423.007678328053,354.325709254108,600.052612662456,873.536481580716,989.029171880961,1159.95114228168,1304.38262729448,861.105750916514,969.37710579149,1158.9939194885,1748.53683411368,1576.89272106252,1003.19016901617,1026.31614787274,1355.81792860119,801.283418132785,1520.03486926039,721.00428783534,1434.93487254143,912.694528813912,1763.84822068692,1330.43503683314,764.593374139671,893.561283477076,1030.22310881384,849.03440521367,824.99081944469,1043.52747597606,705.1681183427,278.463738897152,1152.26565476258,1035.85668705473,1056.71834510409,1003.6365944487,1100.463923882,1099.50258480816,1257.81557592037,1037.6494476602,842.383419897516,965.495858740138,1038.96385497701,1048.7991185229,774.653701964738,650.940105285878,1171.0997861746,900.888367795029,1049.60773773966,1047.19382277382,1104.94805346333,416.482892904129,516.572349879619,342.873299768657,512.414730800659,265.812366451722,455.59907336615,487.94813931412,669.868284672426,848.353267744173
"Chl.c1",131.436970140395,124.737993470373,118.491996041351,76.3444161376034,72.091365740327,164.630480726053,67.3735827947189,100.528956205898,123.850366576566,100.164316019165,99.1503059260794,148.044022866776,130.027053274721,100.57990307761,104.092047370856,99.8230086741985,134.146521343202,96.133888170836,82.116570293546,90.8349796675714,105.696947673384,81.141583015165,66.3172638794703,96.3296837726777,63.2120544871537,65.8083035039444,84.4959123391781,75.3869279529748,94.3595112226138,69.9335449995048,61.830951235318,116.117179434152,125.90555714212,96.6268888102796,85.4092977407395,87.3814182699623,53.3835174995018,70.7926641172635,79.9097927093222,61.0629903526201,75.4631382746112,67.9353800313774,76.7564348499786,72.2018933170586,67.6007953696041,67.3709230931468,64.7877189165935,87.0485913113216,73.45430927733,83.8045177843202,67.0283234829426,110.314019404774,85.5925078566975,104.98572139209,90.4736494974475,76.076769613034,72.3524974461797,30.1840434215255,33.4762821698769,23.1226583513035,70.5459040636259,66.1056340822853,94.4759690217325,64.3758755921106,48.0964449674984,56.6595189676383,24.1555023850294,26.518684518447,64.798143212015,24.5127402918524,36.99162905925,27.5397880711578,22.4815495802961,35.4474223312771,56.8850998153595,72.7645307494487,85.473383756025,92.6172803022434,69.9845747136857,66.2033238196196,70.2709172781268,119.464820172577,124.256688350773,68.7537055786163,78.7406598321868,71.8552765076183,50.4411729910376,85.5766582443993,26.4569578529421,94.4590530850614,32.9948572981086,108.506135906084,95.6539826812586,39.7769890094686,36.3413897054645,47.9468673057775,40.6780069607341,36.7114614911158,56.0549010656748,37.2814624414427,14.452497186085,57.1988833072761,60.42829831968,75.5518250697316,72.1998939592858,80.8339956134231,78.306221488495,82.4013069178433,75.0592036628318,55.1988918589114,67.0470599035954,39.1423135837457,51.3595061588959,34.8382087342054,44.513726749833,61.346730556748,49.696633789409,63.1828219657238,66.2451929767887,74.621212153777,25.3240386663035,35.0325406466189,20.179209630178,18.2459813174489,21.8676551524681,35.2643400912166,28.7859722523524,45.3861284704997,51.353724721203
"Chl.c2",19.326672244656,0,0,0,0,0,0,0,24.5569506297009,3.28780690071347,14.2003442305829,43.611230684873,0.0548496491853026,0,0,0,0,0,0,12.2511846085669,0,0,0,0,0,0,0,17.3869936973466,11.847043741692,46.2430168702381,4.27614422414505,28.7668867696539,40.6254853226575,32.1303803511451,36.5168799254557,50.0575805616714,39.7375998008599,31.2538348713627,11.6383320837908,18.3700954123668,0,8.40953581603191,7.99116551478672,15.8035422909269,17.9531331006787,26.6057500790903,43.7933242062752,0,6.19416623354153,0,10.8465479144322,21.0971365468487,38.0408851467542,21.3294577441738,21.8886663543492,33.7491194487112,24.0154755993563,0,62.8237159287069,25.1964184790398,53.7251961913141,27.2728214990425,106.773963832599,66.8530891874833,0,0,16.1931480527797,31.9468001224505,83.1130737888063,33.0705991504107,43.7825252803479,24.4785278467944,24.9436177662985,38.8692601305055,63.6230771574937,0,13.9013963824033,17.3979879907273,6.03788195788707,7.36415902911648,38.3029628695148,20.3416423385054,0,11.2761835716349,40.9621082332276,38.1100202565629,35.3701089720077,65.8392219914885,27.4242904989349,77.8570408363917,54.0407670035498,70.0194591617457,3.89369844951341,47.7316575546394,63.4104464287479,66.683307498412,71.672760524438,73.9363536634629,60.3627792121247,44.0661143138046,17.4219711132827,98.916286559182,30.7594977035101,30.3281106387603,9.47871418277643,28.9403701525844,26.4553398182696,37.3598329194157,23.9448070901783,0,15.0739630290656,82.6274562840316,78.2062795959071,26.4972895807835,2.22153954487585,53.1760594675168,46.2863534560211,25.3798512475706,31.8690751003121,19.5780356598062,6.81037129194926,20.7166725204451,9.65624011221078,34.5587586198699,0,5.55013670134122,23.1239780671699,25.6421566004253,26.5686561950114
"Fuco",1381.87228843756,1764.76186842592,1351.92476623802,1020.69864441034,1265.78227354268,1432.38848706192,1014.20104645296,1049.38574299574,815.545903818541,1009.94293235631,825.521589397559,1639.34936800555,1858.49102674114,1189.6740245217,1139.53404953098,1243.75091887807,1100.76236701563,1142.9525747164,943.015000313282,1119.21027410696,917.213855529651,850.242930803157,803.063379315125,636.292601545897,832.476519354213,931.469969346626,890.87029204006,835.042572339617,1435.78941845052,768.014655366455,801.357817743811,1078.12326663565,872.583751075028,1099.12856527393,978.618499134253,903.05320590815,799.555534301599,835.842828509548,839.10586722108,818.90843355013,904.369454127894,907.962142029937,943.890469369585,935.52234412135,875.058230485738,944.011218341636,866.379061044991,1037.23598589929,513.122278589822,735.53732449804,512.604328892673,814.098929056172,525.180664990166,763.36766402946,762.811979807997,697.500785031325,566.757658910767,495.564862488674,662.649386102664,380.034406806876,852.288932938258,758.684448649465,882.487982549085,781.677433227386,559.952868443463,677.857665857952,203.360695404179,218.137060536329,602.101427585427,217.264770052276,338.233487684582,236.285001447928,185.143208250243,328.513801082826,498.363761579313,841.792798135329,948.043176943778,1051.05591472686,688.039926287723,883.552687471864,853.96002290628,1246.66353844312,1084.97977706975,775.15841323421,610.815706134297,818.289765296582,580.443063473768,928.85280819915,507.662022757635,755.31662823023,570.819425388402,1064.31066244742,1020.540642813,436.759833105108,604.961837978231,684.448975995972,574.242757103841,440.996696204258,790.98341641534,544.477433785873,135.603691538085,815.514002270146,803.929657111895,773.626486530711,781.575056828895,789.57825831384,775.368993124475,838.106974351989,730.539412013173,667.762521155298,750.430776737104,603.228970908585,553.656744701849,582.31079973671,441.814415766196,825.575870216504,563.742165018054,668.225007386104,741.212571568671,871.631129653063,264.907378221968,288.091232515116,232.77141815928,398.557258653496,143.043475383556,285.378540388686,327.336149974551,406.812239269601,658.939230625541
"Phe.a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9713736447606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zea",88.1748964451472,0,0,0,17.316840131277,0,10.076154332168,52.3979311597125,74.4301129073038,7.27238447464231,20.5076938988256,0,47.2342155707263,0,0,0,0,0,0,21.7519738738856,0,43.4255866723966,45.6870188708531,36.2589154642213,0,0,1.00667598994611,55.2594561072993,102.719315234132,70.6393269802078,18.4457907413797,0,40.5934588211144,35.3622838342662,51.4509791398429,83.2477046552574,0,0,90.1834333060899,21.9426436099811,30.3188949272653,35.7702603796428,32.241315174349,80.3734019964751,47.3826750543184,23.2007469932021,100.78554951214,0,68.6223998942532,82.684332827292,81.9062642787602,111.869298235436,63.4543887078524,96.0559134138522,113.400940907307,121.429473366524,88.2603807976592,51.9596428386558,91.0902765700345,57.7066283072066,105.997132752421,93.238700317402,145.507933911449,0,56.4095011108348,59.6559261114868,12.0193149519251,0,25.4354443442284,28.9399352574967,8.47445756229869,10.8203042914279,0,18.392289806359,35.0818392307326,21.6834321344181,21.2561584635437,25.0955300170729,43.7079607322937,31.4411483350074,58.7054426324804,32.2718812433891,49.8910475822101,75.9175450388751,0,97.6935928856185,67.7042502241514,0,0,0,0,142.941997081388,98.8577908249188,61.1820130774339,9.61519004850039,20.3544284501017,25.1657902554002,0,55.2074014971343,4.63125897727436,17.477700318044,30.3805293782075,0,32.7093930907832,62.0100870407222,34.9848919496272,87.9219313454279,22.1164679630755,31.9165746182002,0,92.5626095343723,0,0,0,0,0,0,0,20.5483726538503,0,0.306475334238807,7.86147566671978,2.90839460521801,2.85181014765222,0,13.1066462120183,0,17.0668616986281,17.6475616437339
