id,g
d1A,1.037
d2A,1.209
d3A,1.086
d4A,1.122
d5A,0.999
d5B,1.148
d6A,1.031
h1A,1.153
h1B,1.154
h2A,1.071
h2B,1.101
h3A,1.097
h3B,1.112
h3C,1.065
h3D,1.044
h3E,1.068
h3F,1
h4A,1.068
h4B,1.011
h4C,1.019
o1A,1.148
o1B,1.156
o1C,1.068
o2A,1.132
o2B,1.065
o2C,1.114
o3A,1.076
o3B,1.084
o3C,1.229
o4A,1.008
o4B,1.002
o4C,1.252
o5A,1.018
o5B,1.122
o5C,1.058
o6A,1.099
o6B,1.086
o6C,1.136
