id,site,species,bag,age,bb.Car,Chl.a,Chl.c1,Chl.c2,Fuco,Phe.a,Viola,Zea
o1.1,WH,o,B7,13,0,350.8827403,24.15550239,16.19314805,203.3606954,0,0,12.01931495
o1.2,WH,o,B7,13,0,432.9252351,26.51868452,31.94680012,218.1370605,0,0,0
o1.3,WH,o,B7,13,0,975.0026816,64.79814321,83.11307379,602.1014276,0,0,25.43544434
o2.1,WH,o,B8,13,0,437.9361491,24.51274029,33.07059915,217.2647701,0,0,28.93993526
o2.2,WH,o,B8,13,0,667.3188323,36.99162906,43.78252528,338.2334877,0,0,8.474457562
o2.3,WH,o,B8,13,0,423.0076783,27.53978807,24.47852785,236.2850014,0,0,10.82030429
o3.1,WH,o,B9,13,0,354.3257093,22.48154958,24.94361777,185.1432083,0,0,0
o3.2,WH,o,B9,13,0,600.0526127,35.44742233,38.86926013,328.5138011,0,0,18.39228981
o3.3,WH,o,B9,13,0,873.5364816,56.88509982,63.62307716,498.3637616,0,0,35.08183923
d1.4,WH,d,B4,25,0,989.0291719,72.76453075,0,841.7927981,0,0,21.68343213
d1.5,WH,d,B4,25,0,1159.951142,85.47338376,13.90139638,948.0431769,0,0,21.25615846
d1.6,WH,d,B4,25,0,1304.382627,92.6172803,17.39798799,1051.055915,0,0,25.09553002
d2.4,WH,d,B5,25,0,861.1057509,69.98457471,6.037881958,688.0399263,0,0,43.70796073
d2.5,WH,d,B5,25,0,969.3771058,66.20332382,7.364159029,883.5526875,0,0,31.44114834
d2.6,WH,d,B5,25,0,1158.993919,70.27091728,38.30296287,853.9600229,0,0,58.70544263
d3.4,WH,d,B6,25,0,1748.536834,119.4648202,20.34164234,1246.663538,0,0,32.27188124
d3.5,WH,d,B6,25,0,1576.892721,124.2566884,0,1084.979777,0,0,49.89104758
d3.6,WH,d,B6,25,0,1003.190169,68.75370558,11.27618357,775.1584132,0,0,75.91754504
h1.4,WH,h,B1,25,158.9098665,1026.316148,78.74065983,40.96210823,610.8157061,0,0,0
